season,home_team,away_team,home_score,away_score,home_win
2020-2021,Harlequins,Bristol Rugby,19,27,0
2020-2021,Exeter Chiefs,Gloucester,28,20,1
2020-2021,Northampton Saints,Worcester Warriors,29,10,1
2020-2021,Sale Sharks,Wasps,23,26,0
2020-2021,Bristol Rugby,Newcastle Falcons,29,17,1
2020-2021,Wasps,Exeter Chiefs,34,5,1
2020-2021,Gloucester,Sale Sharks,19,22,0
2020-2021,Leicester Tigers,Bath Rugby,36,31,1
2020-2021,Bath Rugby,Wasps,44,52,0
2020-2021,Sale Sharks,Worcester Warriors,20,13,1
2020-2021,Exeter Chiefs,Bristol Rugby,7,20,0
2021-2022,Bristol Rugby,Saracens,9,26,0
2021-2022,Worcester Warriors,London Irish,36,24,1
2021-2022,Leicester Tigers,Exeter Chiefs,34,19,1
2021-2022,Northampton Saints,Gloucester,34,20,1
2021-2022,Sale Sharks,Bath Rugby,20,19,1
2021-2022,Newcastle Falcons,Harlequins,20,26,0
2021-2022,Gloucester,Leicester Tigers,26,33,0
2021-2022,Bath Rugby,Newcastle Falcons,13,20,0
2021-2022,Exeter Chiefs,Northampton Saints,24,26,0
2021-2022,Harlequins,Worcester Warriors,35,29,1
2021-2022,Wasps,Bristol Rugby,44,8,1
2021-2022,London Irish,Sale Sharks,31,31,0
2021-2022,Bristol Rugby,Bath Rugby,25,20,1
2021-2022,Northampton Saints,London Irish,23,21,1
2021-2022,Leicester Tigers,Saracens,13,12,1
2022-2023,Bristol Rugby,Bath Rugby,31,29,1
2022-2023,Exeter Chiefs,Leicester Tigers,24,20,1
2022-2023,London Irish,Worcester Warriors,45,14,1
2022-2023,Newcastle Falcons,Harlequins,31,40,0
2022-2023,Sale Sharks,Northampton Saints,29,22,1
2022-2023,Gloucester,Wasps,27,21,1
2022-2023,Northampton Saints,London Irish,38,22,1
2022-2023,Leicester Tigers,Newcastle Falcons,36,21,1
2022-2023,Wasps,Bristol Rugby,8,23,0
2022-2023,Harlequins,Saracens,27,30,0
2022-2023,Bath Rugby,Sale Sharks,20,37,0
2022-2023,Worcester Warriors,Exeter Chiefs,21,36,0
2022-2023,Bath Rugby,Wasps,31,39,0
2022-2023,Bristol Rugby,London Irish,40,36,1
2022-2023,Northampton Saints,Leicester Tigers,21,41,0
2023-2024,Bristol Rugby,Leicester Tigers,25,14,1
2023-2024,Exeter Chiefs,Saracens,65,10,1
2023-2024,Gloucester,Harlequins,29,28,1
2023-2024,Bath Rugby,Newcastle Falcons,34,26,1
2023-2024,Sale Sharks,Northampton Saints,20,15,1
2023-2024,Newcastle Falcons,Gloucester,14,18,0
2023-2024,Northampton Saints,Bristol Rugby,27,33,0
2023-2024,Saracens,Bath Rugby,16,25,0
2023-2024,Leicester Tigers,Sale Sharks,17,24,0
2023-2024,Harlequins,Exeter Chiefs,22,14,1
2023-2024,Gloucester,Saracens,3,24,0
2023-2024,Bristol Rugby,Harlequins,21,23,0
2023-2024,Exeter Chiefs,Sale Sharks,43,0,1
2023-2024,Bath Rugby,Leicester Tigers,24,25,0
2023-2024,Newcastle Falcons,Northampton Saints,14,16,0
2024-2025,Newcastle Falcons,Bristol Rugby,3,24,0
2024-2025,Bath Rugby,Northampton Saints,38,16,1
2024-2025,Exeter Chiefs,Leicester Tigers,14,17,0
2024-2025,Gloucester,Saracens,26,35,0
2024-2025,Sale Sharks,Harlequins,12,11,1
2024-2025,Bristol Rugby,Gloucester,41,44,0
2024-2025,Harlequins,Newcastle Falcons,28,14,1
2024-2025,Saracens,Sale Sharks,45,26,1
2024-2025,Northampton Saints,Exeter Chiefs,30,24,1
2024-2025,Leicester Tigers,Bath Rugby,15,20,0
2024-2025,Sale Sharks,Gloucester,31,27,1
2024-2025,Northampton Saints,Harlequins,33,29,1
2024-2025,Bath Rugby,Bristol Rugby,26,36,0
2024-2025,Newcastle Falcons,Leicester Tigers,10,42,0
2024-2025,Saracens,Exeter Chiefs,29,14,1
